student_id,first_name,last_name,gender,birth_date,email_address,admitted,enrolled,parent_alum,parent_highest_ed,first_gen_hed_student,high_school_gpa,was_hs_athlete_ind,home_state,admit_type,private_hs_ind,multiple_majors_ind,secondary_class_percentile,department_id,admit_semester_id,first_yr_gpa,cumulative_gpa,enroll_status,planned_grad_sem_id,Address
100010,Alejandro,Rosalez_304,M,,Alejandro.Rosalez_304@example.com,0,0,0,8,0,2.92,0,Texas,Regular,0,1,73,9,29,0,0,declined,0,19;CANBERRA DRIVE;1 CANBERRA;SINGAPORE;768075
100011,Jane,Doe_154,F,,Jane.Doe_154@example.com,1,0,0,6,0,3.57,1,Iowa,Regular,0,0,89,28,29,0,0,admitted,0,23;CANBERRA DRIVE;1 CANBERRA;SINGAPORE;768077
100012,Shirley,Rodriguez_255,M,,Shirley.Rodriguez_255@example.com,1,1,0,2,1,2.73,1,Utah,Regular,0,0,68,14,29,0,0,enrolled,36,25;CANBERRA DRIVE;1 CANBERRA;SINGAPORE;768078
100013,Richard,Roe_384,M,,Richard.Roe_384@example.com,1,1,0,8,0,2.48,1,Oregon,Regular,0,0,61,23,29,0,0,enrolled,36,1;CANBERRA DRIVE;1 CANBERRA;SINGAPORE;768101
100014,Carlos,Salazar_312,F,,Carlos.Salazar_312@example.com,1,1,0,2,1,3.42,1,Pennsylvania,Regular,0,0,85,21,29,0,0,enrolled,36,3;CANBERRA DRIVE;1 CANBERRA;SINGAPORE;768102
100015,Shirley,Rodriguez_022,F,,Shirley.Rodriguez_022@example.com,1,1,1,8,0,3.39,1,Nebraska,Regular,0,0,84,16,29,0,0,enrolled,36,5;CANBERRA DRIVE;1 CANBERRA;SINGAPORE;768103
100016,Mateo,Jackson_184,F,,Mateo.Jackson_184@example.com,1,1,1,8,0,4.2,1,Washington,Early Action,0,0,100,25,29,0,0,enrolled,36,1;CHANGI BUSINESS PARK AVENUE 1;NIL;SINGAPORE;486058
100017,John,Doe_361,M,,John.Doe_361@example.com,1,1,0,6,0,3.16,1,Virgin Islands,Regular,0,0,78,6,29,0,0,enrolled,36,1;CHANGI NORTH STREET 1;NIL;SINGAPORE;498789
100018,Mary,Major_376,M,,Mary.Major_376@example.com,1,1,0,1,1,3.49,1,Missouri,Regular,0,0,87,8,29,0,0,enrolled,36,1;CHANGI SOUTH LANE;NIL;SINGAPORE;486070
100019,Marcia,Oliveira_236,F,,Marcia.Oliveira_236@example.com,0,0,0,2,1,3.05,0,Maryland,Regular,0,1,76,33,29,0,0,declined,0,1;CHATSWORTH PARK;NIL;SINGAPORE;249807
100020,Jorge,Souza_076,F,,Jorge.Souza_076@example.com,0,0,0,4,0,2.75,0,New Jersey,Regular,1,1,68,31,29,0,0,declined,0,1;CHESTNUT CLOSE;NIL;SINGAPORE;679443
100021,Shirley,Rodriguez_198,M,,Shirley.Rodriguez_198@example.com,1,1,0,1,1,2.96,0,Vermont,Regular,0,0,74,14,29,0,0,enrolled,36,1;CHESTNUT TERRACE;NIL;SINGAPORE;679119
100022,Jane,Doe_219,M,,Jane.Doe_219@example.com,1,1,0,7,0,3.21,1,Virgin Islands,Regular,0,0,80,9,29,0,0,enrolled,36,1;CLIFTON VALE;NIL;SINGAPORE;359661
100023,Shirley,Rodriguez_057,F,,Shirley.Rodriguez_057@example.com,0,0,0,6,0,2.68,0,Arkansas,Regular,1,1,66,17,29,0,0,declined,0,1;COUNTRYSIDE PLACE;NIL;SINGAPORE;789872
100024,Martha,Rivera_378,M,,Martha.Rivera_378@example.com,0,0,0,0,1,3.51,0,Oregon,Regular,1,1,87,23,29,0,0,declined,0,1;COUNTRYSIDE ROAD;NIL;SINGAPORE;789767
100025,Jane,Doe_260,F,,Jane.Doe_260@example.com,1,1,0,6,0,3.48,1,Virgin Islands,Regular,0,0,87,20,29,0,0,enrolled,36,1;DEFU AVENUE 1;NIL;SINGAPORE;539540
100026,Martha,Rivera_138,M,,Martha.Rivera_138@example.com,1,1,0,4,0,3.32,1,Tennessee,Regular,0,0,82,8,29,0,0,enrolled,36,1;DEPOT CLOSE;NIL;SINGAPORE;109841
100027,Diego,Ramirez_085,M,,Diego.Ramirez_085@example.com,0,0,0,2,1,3.15,0,North Carolina,Regular,0,1,78,1,29,0,0,declined,0,1;EUNOS CRESCENT;NIL;SINGAPORE;400001
100028,Diego,Ramirez_299,F,,Diego.Ramirez_299@example.com,1,1,0,7,0,3.29,0,Mississippi,Regular,0,0,82,31,29,0,0,enrolled,36,1;FINLAYSON GREEN;NIL;SINGAPORE;49246
100029,Jorge,Souza_211,F,,Jorge.Souza_211@example.com,1,1,0,7,0,3.03,0,Texas,Regular,0,0,75,10,29,0,0,enrolled,36,1;FIRST LOK YANG ROAD;NIL;SINGAPORE;629728
100030,Diego,Ramirez_330,F,,Diego.Ramirez_330@example.com,1,1,0,7,0,3.11,1,South Carolina,Regular,0,0,77,17,29,0,0,enrolled,36,1;FOWLIE ROAD;NIL;SINGAPORE;428471
100031,Marcia,Oliveira_187,F,,Marcia.Oliveira_187@example.com,0,0,0,1,1,3.24,0,Ohio,Regular,0,1,80,26,29,0,0,declined,0,1;GENTING LANE;NIL;SINGAPORE;349544
100032,Jane,Doe_281,M,,Jane.Doe_281@example.com,1,1,0,7,0,3.45,1,Oklahoma,Regular,0,0,86,8,29,0,0,enrolled,36,1;GOODWOOD HILL;NIL;SINGAPORE;258896
100033,Diego,Ramirez_027,F,,Diego.Ramirez_027@example.com,1,1,0,8,0,2.69,1,Connecticut,Regular,0,0,67,26,29,0,0,enrolled,36,1;GUAN SOON AVENUE;NIL;SINGAPORE;489572
100034,Jane,Doe_200,M,,Jane.Doe_200@example.com,1,1,0,6,0,3.21,1,Pennsylvania,Regular,0,0,80,23,29,0,0,enrolled,36,1;GUILLEMARD LANE;NIL;SINGAPORE;399870
100035,Mary,Major_435,F,,Mary.Major_435@example.com,0,0,0,3,1,3.35,0,Ohio,Regular,1,1,83,37,29,0,0,declined,0,1;HOLLAND CLOSE;NIL;SINGAPORE;271001
100036,Mary,Major_108,M,,Mary.Major_108@example.com,0,0,0,0,1,3.64,0,Iowa,Regular,0,1,90,16,29,0,0,declined,0,1;JALAN BERSEH;NIL;SINGAPORE;209037
100037,Mateo,Jackson_255,F,,Mateo.Jackson_255@example.com,1,1,0,7,0,2.74,1,Iowa,Regular,0,0,68,18,29,0,0,enrolled,36,1;JALAN KILANG;NIL;SINGAPORE;159402
100038,Maria,Garcia_179,F,,Maria.Garcia_179@example.com,1,1,1,6,0,3,0,Kansas,Regular,0,0,74,23,29,0,0,enrolled,36,1;JALAN LATEH;NIL;SINGAPORE;359155
100039,John,Doe_397,F,,John.Doe_397@example.com,1,1,0,5,0,3.22,1,Oregon,Regular,0,0,80,22,29,0,0,enrolled,36,1;JALAN MELATI;NIL;SINGAPORE;368888
100040,John,Doe_229,M,,John.Doe_229@example.com,1,1,0,7,0,2.81,0,Wisconsin,Regular,0,0,70,36,29,0,0,enrolled,36,1;JOO KOON WAY;NIL;SINGAPORE;628942
100041,John,Stiles_288,F,,John.Stiles_288@example.com,0,0,0,2,1,3.03,0,Colorado,Regular,0,1,75,21,29,0,0,declined,0,1;KALLANG JUNCTION;NIL;SINGAPORE;339263
100042,Nikki,Wolf_220,M,,Nikki.Wolf_220@example.com,0,0,0,5,0,3,0,Virginia,Regular,0,1,74,24,29,0,0,declined,0,1;KALLANG PLACE;NIL;SINGAPORE;339211
100043,Diego,Ramirez_418,M,,Diego.Ramirez_418@example.com,1,1,0,7,0,3.41,1,Delaware,Regular,0,0,85,25,29,0,0,enrolled,36,1;KALLANG SECTOR;NIL;SINGAPORE;349276
100044,John,Doe_440,F,,John.Doe_440@example.com,1,1,1,7,0,2.78,1,New York,Regular,0,0,69,11,29,0,0,enrolled,36,1;KAY SIANG ROAD;NIL;SINGAPORE;248922
100045,Marcia,Oliveira_081,F,,Marcia.Oliveira_081@example.com,1,1,0,8,0,3.03,1,Minnesota,Regular,0,0,75,23,29,0,0,enrolled,36,1;KEE SUN AVENUE;NIL;SINGAPORE;457023
100046,Jorge,Souza_395,F,,Jorge.Souza_395@example.com,1,1,1,2,1,3.13,1,Montana,Regular,0,0,78,15,29,0,0,enrolled,36,1;KEONG SAIK ROAD;NIL;SINGAPORE;89109
100047,Marcia,Oliveira_403,M,,Marcia.Oliveira_403@example.com,1,1,0,8,0,3.26,1,New Jersey,Regular,0,0,81,8,29,0,0,enrolled,36,1;KEW CRESCENT;NIL;SINGAPORE;466042
100048,Shirley,Rodriguez_242,F,,Shirley.Rodriguez_242@example.com,1,1,1,0,1,3.35,0,Nebraska,Regular,0,0,83,27,29,0,0,enrolled,36,1;KEW DRIVE;NIL;SINGAPORE;467993
100049,John,Doe_210,M,,John.Doe_210@example.com,1,1,1,6,0,2.77,0,Iowa,Regular,0,0,69,17,29,0,0,enrolled,36,1;KEW TERRACE;NIL;SINGAPORE;466034
100050,John,Doe_065,F,,John.Doe_065@example.com,1,1,0,8,0,3.01,1,South Carolina,Regular,0,0,75,21,29,0,0,enrolled,36,1;KIAN TECK DRIVE;NIL;SINGAPORE;628818
100051,Diego,Ramirez_057,F,,Diego.Ramirez_057@example.com,1,1,0,2,1,3.43,0,Idaho,Regular,0,0,85,37,29,0,0,enrolled,36,1;KUO CHUAN AVENUE;NIL;SINGAPORE;426887
100052,John,Stiles_408,F,,John.Stiles_408@example.com,0,0,0,3,1,3.58,0,Montana,Regular,1,1,89,17,29,0,0,declined,0,1;LENGKONG LIMA;NIL;SINGAPORE;417530
100053,Diego,Ramirez_038,M,,Diego.Ramirez_038@example.com,1,1,0,4,0,3.67,1,South Carolina,Regular,0,0,91,2,29,0,0,enrolled,36,1;LINDEN DRIVE;NIL;SINGAPORE;288682
100054,John,Doe_388,M,,John.Doe_388@example.com,1,1,0,5,0,3.58,0,Arkansas,Regular,0,0,89,19,29,0,0,enrolled,36,1;LORONG PAYA LEBAR;NIL;SINGAPORE;536299
100055,Jane,Doe_202,M,,Jane.Doe_202@example.com,1,1,1,1,1,2.59,1,Indiana,Regular,0,0,64,22,29,0,0,enrolled,36,1;MARGATE ROAD;NIL;SINGAPORE;438039
100056,Richard,Roe_070,F,,Richard.Roe_070@example.com,0,0,0,1,1,2.76,0,New York,Regular,1,1,68,2,29,0,0,declined,0,1;MARLENE AVENUE;NIL;SINGAPORE;556602
100057,John,Stiles_006,F,,John.Stiles_006@example.com,0,0,0,5,0,2.64,0,Arizona,Regular,0,1,66,20,29,0,0,declined,0,1;MAUDE ROAD;NIL;SINGAPORE;200001
100058,Marcia,Oliveira_028,F,,Marcia.Oliveira_028@example.com,1,1,0,0,1,2.71,1,Alabama,Regular,0,0,67,12,29,0,0,enrolled,36,1;MOULMEIN RISE;1 MOULMEIN RISE;SINGAPORE;308143
100059,Paulo,Santos_381,F,,Paulo.Santos_381@example.com,1,1,1,4,0,2.78,1,Georgia,Regular,0,0,69,19,29,0,0,enrolled,36,1;NEW INDUSTRIAL ROAD;NIL;SINGAPORE;536196
100060,Richard,Roe_183,F,,Richard.Roe_183@example.com,1,1,0,7,0,2.62,1,Nevada,Regular,0,0,65,10,29,0,0,enrolled,36,1;PANDAN CRESCENT;NIL;SINGAPORE;128461
100061,Paulo,Santos_068,F,,Paulo.Santos_068@example.com,1,1,0,4,0,3.52,1,New Hampshire,Regular,0,0,87,20,29,0,0,enrolled,36,1;PIONEER TURN;NIL;SINGAPORE;627576
100062,Maria,Garcia_080,F,,Maria.Garcia_080@example.com,1,1,0,6,0,2.92,1,Colorado,Regular,0,0,73,25,29,0,0,enrolled,36,1;PLAYFAIR ROAD;NIL;SINGAPORE;367981
100063,Jane,Doe_346,M,,Jane.Doe_346@example.com,1,1,1,0,1,2.5,1,Florida,Regular,0,0,62,27,29,0,0,enrolled,36,1;POOLE ROAD;NIL;SINGAPORE;437487
100064,Ana,Silva_190,M,,Ana.Silva_190@example.com,1,1,0,2,1,3.37,0,Minnesota,Regular,0,0,84,19,29,0,0,enrolled,36,1;ROCHDALE ROAD;NIL;SINGAPORE;535814
100065,Mateo,Jackson_404,M,,Mateo.Jackson_404@example.com,0,0,0,2,1,2.95,0,Virginia,Regular,0,1,73,21,29,0,0,declined,0,1;SARACA DRIVE;NIL;SINGAPORE;807505
100066,John,Stiles_198,M,,John.Stiles_198@example.com,1,1,0,4,0,3.57,1,Puerto Rico,Regular,0,0,89,30,29,0,0,enrolled,36,1;SECOND AVENUE;NIL;SINGAPORE;266675
100067,Jorge,Souza_405,F,,Jorge.Souza_405@example.com,1,1,0,3,1,2.77,1,Utah,Regular,0,0,69,2,29,0,0,enrolled,36,1;SENNETT LANE;NIL;SINGAPORE;466889
100068,John,Stiles_429,F,,John.Stiles_429@example.com,1,1,0,7,0,3.26,0,Montana,Regular,0,0,81,8,29,0,0,enrolled,36,1;SHIPYARD ROAD;NIL;SINGAPORE;628128
100069,Paulo,Santos_323,M,,Paulo.Santos_323@example.com,0,0,0,0,1,3.61,0,Texas,Regular,1,1,90,1,29,0,0,declined,0,1;SPRINGSIDE CRESCENT;NIL;SINGAPORE;786162
100070,Mateo,Jackson_319,F,,Mateo.Jackson_319@example.com,1,1,1,3,1,2.83,1,Minnesota,Regular,0,0,70,13,29,0,0,enrolled,36,1;SPRINGSIDE GREEN;NIL;SINGAPORE;786932
100071,Mary,Major_209,F,,Mary.Major_209@example.com,1,1,0,7,0,2.72,1,Minnesota,Regular,0,0,67,18,29,0,0,enrolled,36,1;SPRINGSIDE PLACE;NIL;SINGAPORE;786404
100072,Jorge,Souza_084,F,,Jorge.Souza_084@example.com,1,1,1,5,0,3.69,1,South Dakota,Regular,0,0,92,8,29,0,0,enrolled,36,1;SPRINGSIDE ROAD;NIL;SINGAPORE;786224
100073,Mary,Major_354,M,,Mary.Major_354@example.com,0,0,0,0,1,3.08,0,Wyoming,Regular,1,1,76,33,29,0,0,declined,0,1;TAI KENG TERRACE;NIL;SINGAPORE;535233
100074,Nikki,Wolf_023,F,,Nikki.Wolf_023@example.com,0,0,0,0,1,2.81,0,Rhode Island,Regular,1,1,70,33,29,0,0,declined,0,1;TAMAN WARNA;NIL;SINGAPORE;276337
100075,Richard,Roe_191,M,,Richard.Roe_191@example.com,1,1,0,1,1,3.55,1,District ,Regular,0,0,88,12,29,0,0,enrolled,36,1;TUAS AVENUE 10;NIL;SINGAPORE;639125
100076,Nikki,Wolf_166,F,,Nikki.Wolf_166@example.com,1,1,0,3,1,3.6,1,North Dakota,Regular,0,0,89,31,29,0,0,enrolled,36,1;TUAS ROAD;NIL;SINGAPORE;638481
100077,Carlos,Salazar_043,M,,Carlos.Salazar_043@example.com,1,1,0,5,0,2.93,0,Virgin Islands,Regular,0,0,73,17,29,0,0,enrolled,36,1;UPPER CIRCULAR ROAD;NIL;SINGAPORE;58400
100078,Diego,Ramirez_121,F,,Diego.Ramirez_121@example.com,1,1,0,1,1,3.26,1,Michigan,Regular,0,0,81,1,29,0,0,enrolled,36,1;VICTORIA PARK CLOSE;NIL;SINGAPORE;266547
100079,Jorge,Souza_222,M,,Jorge.Souza_222@example.com,0,0,0,5,0,3.16,0,North Carolina,Regular,1,1,78,15,29,0,0,declined,0,1;WOODLANDS AVENUE 8;NIL;SINGAPORE;738972
100080,Martha,Rivera_153,F,,Martha.Rivera_153@example.com,0,0,0,1,1,3.68,0,Alabama,Regular,1,1,92,32,29,0,0,declined,0,1;YISHUN AVENUE 7;NIL;SINGAPORE;768923
100081,Mateo,Jackson_144,M,,Mateo.Jackson_144@example.com,1,1,0,8,0,2.99,1,Michigan,Regular,0,0,74,37,29,0,0,enrolled,36,10;BEDOK CLOSE;NIL;SINGAPORE;469879
100082,Martha,Rivera_393,F,,Martha.Rivera_393@example.com,1,0,0,0,1,2.98,0,Oregon,Regular,0,0,74,17,29,0,0,admitted,0,10;BELMONT ROAD;NIL;SINGAPORE;269908
100083,Martha,Rivera_233,F,,Martha.Rivera_233@example.com,1,1,1,3,1,2.96,1,Texas,Regular,0,0,74,34,29,0,0,enrolled,36,10;BUKIT CHERMIN ROAD;NIL;SINGAPORE;109918
100084,Ana,Silva_294,M,,Ana.Silva_294@example.com,0,0,0,7,0,3.23,0,Connecticut,Regular,0,1,80,30,29,0,0,declined,0,10;BULIM AVENUE;NIL;SINGAPORE;648165
100085,John,Stiles_126,F,,John.Stiles_126@example.com,0,0,0,8,0,3.56,0,Iowa,Regular,0,1,89,28,29,0,0,declined,0,10;CHAI CHEE ROAD;NIL;SINGAPORE;467010
100086,Mary,Major_020,M,,Mary.Major_020@example.com,1,1,0,2,1,2.84,1,Massachusetts,Regular,0,0,70,12,29,0,0,enrolled,36,10;CHANGI COAST WALK;NIL;SINGAPORE;499739
100087,Shirley,Rodriguez_088,F,,Shirley.Rodriguez_088@example.com,1,1,0,1,1,3.87,1,Mississippi,Early Decision,0,0,96,10,29,0,0,enrolled,36,10;CHANGI SOUTH STREET 2;NIL;SINGAPORE;486596
100088,Marcia,Oliveira_191,F,,Marcia.Oliveira_191@example.com,1,1,1,4,0,3.4,1,Washington,Regular,0,0,85,18,29,0,0,enrolled,36,10;CHANGI SOUTH STREET 3;NIL;SINGAPORE;486147
100089,Richard,Roe_107,M,,Richard.Roe_107@example.com,0,0,0,3,1,2.49,0,Oklahoma,Regular,0,1,62,29,29,0,0,declined,0,10;CORONATION ROAD WEST;NIL;SINGAPORE;269242
100090,Mary,Major_404,M,,Mary.Major_404@example.com,1,1,0,4,0,3.16,1,New York,Regular,0,0,78,18,29,0,0,enrolled,36,10;COUNTRYSIDE ROAD;NIL;SINGAPORE;789776
100091,Jorge,Souza_346,M,,Jorge.Souza_346@example.com,1,1,0,4,0,2.99,1,Michigan,Regular,0,0,74,2,29,0,0,enrolled,36,10;COUNTRYSIDE VIEW;NIL;SINGAPORE;789726
100092,Mary,Major_001,M,,Mary.Major_001@example.com,1,1,0,4,0,3.37,1,Wisconsin,Regular,0,0,84,12,29,0,0,enrolled,36,10;CRANBORNE ROAD;NIL;SINGAPORE;439387
100093,Marcia,Oliveira_386,F,,Marcia.Oliveira_386@example.com,1,1,1,7,0,4.37,1,New York,Early Action,0,0,100,28,29,0,0,enrolled,36,10;DOVER DRIVE;NIL;SINGAPORE;138683
100094,Ana,Silva_243,F,,Ana.Silva_243@example.com,1,1,0,3,1,2.88,1,Oklahoma,Regular,0,0,71,16,29,0,0,enrolled,36,10;GRACE WALK;NIL;SINGAPORE;557733
100095,Nikki,Wolf_131,M,,Nikki.Wolf_131@example.com,1,1,0,8,0,3.4,1,Minnesota,Regular,0,0,85,35,29,0,0,enrolled,36,10;GUL CRESCENT;NIL;SINGAPORE;629523
100096,Marcia,Oliveira_437,M,,Marcia.Oliveira_437@example.com,1,1,0,4,0,3.79,1,of Columbia,Regular,0,0,94,27,29,0,0,enrolled,36,10;HARVEY CRESCENT;NIL;SINGAPORE;489372
100097,Nikki,Wolf_430,M,,Nikki.Wolf_430@example.com,0,0,0,8,0,3.4,0,Vermont,Regular,0,1,84,22,29,0,0,declined,0,10;HERTFORD ROAD;NIL;SINGAPORE;219401
100098,Diego,Ramirez_089,M,,Diego.Ramirez_089@example.com,1,1,0,2,1,3.26,1,Hawaii,Regular,0,0,81,32,29,0,0,enrolled,36,10;HOE CHIANG ROAD;NIL;SINGAPORE;89315
100099,Carlos,Salazar_028,M,,Carlos.Salazar_028@example.com,0,0,0,8,0,3.97,0,North Carolina,Early Decision,0,1,99,34,29,0,0,declined,0,10;HONG LEE PLACE;NIL;SINGAPORE;548853
100100,Nikki,Wolf_372,F,,Nikki.Wolf_372@example.com,1,0,0,8,0,2.91,1,Wyoming,Regular,0,0,72,10,29,0,0,admitted,0,10;JALAN BELANGKAS;NIL;SINGAPORE;369369
100101,John,Doe_025,F,,John.Doe_025@example.com,1,1,0,6,0,3.14,1,Rhode Island,Regular,0,0,78,29,29,0,0,enrolled,36,10;JALAN KELABU ASAP;NIL;SINGAPORE;278206
100102,Mary,Major_344,F,,Mary.Major_344@example.com,1,1,0,2,1,2.7,1,Indiana,Regular,0,0,67,14,29,0,0,enrolled,36,10;JALAN LEMPENG;NIL;SINGAPORE;128797
100103,Diego,Ramirez_373,F,,Diego.Ramirez_373@example.com,0,0,0,8,0,3.44,0,New Mexico,Regular,0,1,85,9,29,0,0,declined,0,10;JALAN LIMAU BALI;NIL;SINGAPORE;468480
100104,Mary,Major_159,F,,Mary.Major_159@example.com,1,1,0,5,0,3.04,0,Alaska,Regular,0,0,75,22,29,0,0,enrolled,36,10;JALAN PELATOK;NIL;SINGAPORE;488393
100105,Jane,Doe_179,M,,Jane.Doe_179@example.com,1,1,0,2,1,3.21,1,Kentucky,Regular,0,0,80,26,29,0,0,enrolled,36,10;JALAN SEGAM;NIL;SINGAPORE;488259
100106,Mateo,Jackson_291,F,,Mateo.Jackson_291@example.com,1,1,0,0,1,2.87,0,Louisiana,Regular,0,0,71,8,29,0,0,enrolled,36,10;JANSEN CLOSE;NIL;SINGAPORE;548480
100107,Martha,Rivera_250,M,,Martha.Rivera_250@example.com,0,0,0,5,0,2.97,0,Massachusetts,Regular,1,1,74,34,29,0,0,declined,0,10;JIAK CHUAN ROAD;NIL;SINGAPORE;89264
100108,Paulo,Santos_128,M,,Paulo.Santos_128@example.com,1,1,1,7,0,3.14,1,Maine,Regular,0,0,78,10,29,0,0,enrolled,36,10;JUBILEE ROAD;NIL;SINGAPORE;128536
100109,Mary,Major_045,M,,Mary.Major_045@example.com,1,1,0,4,0,2.96,1,Puerto Rico,Regular,0,0,73,7,29,0,0,enrolled,36,10;KEW WALK;NIL;SINGAPORE;466024
100110,Richard,Roe_339,M,,Richard.Roe_339@example.com,1,1,0,0,1,3.25,0,New Mexico,Regular,0,0,81,3,29,0,0,enrolled,36,10;LAKESHORE VIEW;NIL;SINGAPORE;98152
100111,Maria,Garcia_130,F,,Maria.Garcia_130@example.com,1,0,0,0,1,3.37,1,Colorado,Regular,0,0,84,34,29,0,0,admitted,0,10;LOK YANG WAY;NIL;SINGAPORE;628631
100112,Paulo,Santos_188,F,,Paulo.Santos_188@example.com,1,1,0,5,0,3.24,1,Nebraska,Regular,0,0,81,2,29,0,0,enrolled,36,10;LORONG ABU TALIB;NIL;SINGAPORE;456846
100113,Martha,Rivera_253,F,,Martha.Rivera_253@example.com,1,1,1,7,0,3.48,1,Idaho,Regular,0,0,86,9,29,0,0,enrolled,36,10;LORONG J TELOK KURAU;NIL;SINGAPORE;425796
100114,John,Doe_325,F,,John.Doe_325@example.com,1,1,0,5,0,2.82,1,Missouri,Regular,0,0,70,31,29,0,0,enrolled,36,10;LORONG MYDIN;NIL;SINGAPORE;416808
100115,Mary,Major_350,F,,Mary.Major_350@example.com,1,1,0,8,0,3.03,1,Pennsylvania,Regular,0,0,75,1,29,0,0,enrolled,36,10;MARLENE AVENUE;NIL;SINGAPORE;556622
100116,Marcia,Oliveira_084,F,,Marcia.Oliveira_084@example.com,0,0,0,1,1,2.89,0,Minnesota,Regular,1,1,72,22,29,0,0,declined,0,10;MUSWELL HILL;NIL;SINGAPORE;358425
100117,Martha,Rivera_268,F,,Martha.Rivera_268@example.com,1,1,0,4,0,2.67,1,Illinois,Regular,0,0,66,28,29,0,0,enrolled,36,10;NORTH BRIDGE ROAD;NIL;SINGAPORE;190010
100118,Jane,Doe_178,F,,Jane.Doe_178@example.com,1,1,0,4,0,3.52,1,District ,Regular,0,0,88,29,29,0,0,enrolled,36,10;OAK AVENUE;NIL;SINGAPORE;276768
100119,Mary,Major_415,M,,Mary.Major_415@example.com,0,0,0,4,0,3.32,0,Maryland,Regular,0,1,82,34,29,0,0,declined,0,10;OAKWOOD GROVE;NIL;SINGAPORE;738260
100120,Maria,Garcia_387,F,,Maria.Garcia_387@example.com,1,1,0,1,1,3.78,1,Virgin Islands,Regular,0,0,94,8,29,0,0,enrolled,36,10;PANDAN CRESCENT;NIL;SINGAPORE;128466
100121,John,Stiles_024,M,,John.Stiles_024@example.com,1,1,0,5,0,3.11,0,New Jersey,Regular,0,0,77,8,29,0,0,enrolled,36,10;PIONEER CRESCENT;NIL;SINGAPORE;628566
100122,Richard,Roe_245,F,,Richard.Roe_245@example.com,0,0,0,0,1,3.35,0,American Samoa,Regular,0,1,83,13,29,0,0,declined,0,10;RAEBURN PARK;NIL;SINGAPORE;88702
100123,Alejandro,Rosalez_076,F,,Alejandro.Rosalez_076@example.com,0,0,0,0,1,2.88,0,Washington,Regular,0,1,72,9,29,0,0,declined,0,10;RIVIERA DRIVE;NIL;SINGAPORE;467222
100124,Marcia,Oliveira_365,M,,Marcia.Oliveira_365@example.com,1,1,0,0,1,3.72,1,North Carolina,Regular,0,0,93,7,29,0,0,enrolled,36,10;SCIENCE PARK ROAD;NIL;SINGAPORE;117684
100125,Alejandro,Rosalez_006,F,,Alejandro.Rosalez_006@example.com,1,1,0,5,0,2.79,1,Delaware,Regular,0,0,69,14,29,0,0,enrolled,36,10;SEA AVENUE;NIL;SINGAPORE;424227
100126,John,Stiles_036,F,,John.Stiles_036@example.com,0,0,0,0,1,3.29,0,North Dakota,Regular,0,1,82,28,29,0,0,declined,0,10;SHELFORD ROAD;10 SHELFORD;SINGAPORE;288353
